MES,ANO,AIH_aprovadas,POP
1,2015,231,803513
2,2015,289,804610.8333
3,2015,279,805708.6667
4,2015,249,806806.5
5,2015,200,807904.3333
6,2015,250,809002.1667
7,2015,279,810100
8,2015,216,811197.8333
9,2015,295,812295.6667
10,2015,250,813393.5
11,2015,195,814491.3333
12,2015,221,815589.1667
1,2016,157,816687
2,2016,234,817764.6667
3,2016,230,818842.3333
4,2016,207,819920
5,2016,186,820997.6667
6,2016,241,822075.3333
7,2016,198,823153
8,2016,182,824230.6667
9,2016,209,825308.3333
10,2016,211,826386
11,2016,220,827463.6667
12,2016,210,828541.3333
1,2017,179,829619
2,2017,186,832922.8333
3,2017,190,836226.6667
4,2017,154,839530.5
5,2017,202,842834.3333
6,2017,160,846138.1667
7,2017,154,849442
8,2017,187,852745.8333
9,2017,199,856049.6667
10,2017,197,859353.5
11,2017,224,862657.3333
12,2017,162,865961.1667
1,2018,211,869265
2,2018,152,870320.8333
3,2018,190,871376.6667
4,2018,204,872432.5
5,2018,154,873488.3333
6,2018,214,874544.1667
7,2018,208,875600
8,2018,199,876655.8333
9,2018,247,877711.6667
10,2018,237,878767.5
11,2018,219,879823.3333
12,2018,126,880879.1667
1,2019,172,881935
2,2019,161,882990.8333
3,2019,214,884046.6667
4,2019,172,885102.5
5,2019,205,886158.3333
6,2019,245,887214.1667
7,2019,174,888270
8,2019,214,889325.8333
9,2019,200,890381.6667
10,2019,237,891437.5
11,2019,179,892493.3333
12,2019,191,893549.1667
