MES,ANO,AIH_aprovadas,POP
1,2015,1080,3340932
2,2015,1204,3342434.583
3,2015,1157,3343937.167
4,2015,1127,3345439.75
5,2015,1125,3346942.333
6,2015,1116,3348444.917
7,2015,1352,3349947.5
8,2015,1382,3351450.083
9,2015,1431,3352952.667
10,2015,1229,3354455.25
11,2015,1221,3355957.833
12,2015,1330,3357460.417
1,2016,1211,3358963
2,2016,1374,3360368
3,2016,1256,3361773
4,2016,1224,3363178
5,2016,1228,3364583
6,2016,1356,3365988
7,2016,1269,3367393
8,2016,1477,3368798
9,2016,1400,3370203
10,2016,1255,3371608
11,2016,1134,3373013
12,2016,1042,3374418
1,2017,1222,3375823
2,2017,1176,3371406.083
3,2017,1276,3366989.167
4,2017,1333,3362572.25
5,2017,1284,3358155.333
6,2017,1378,3353738.417
7,2017,1300,3349321.5
8,2017,1387,3344904.583
9,2017,1421,3340487.667
10,2017,1396,3336070.75
11,2017,1201,3331653.833
12,2017,1226,3327236.917
1,2018,1113,3322820
2,2018,1294,3324031.417
3,2018,1251,3325242.833
4,2018,1326,3326454.25
5,2018,1191,3327665.667
6,2018,1202,3328877.083
7,2018,1278,3330088.5
8,2018,1294,3331299.917
9,2018,1439,3332511.333
10,2018,1393,3333722.75
11,2018,1182,3334934.167
12,2018,1244,3336145.583
1,2019,1151,3337357
2,2019,1182,3338568.417
3,2019,1132,3339779.833
4,2019,1197,3340991.25
5,2019,1093,3342202.667
6,2019,1193,3343414.083
7,2019,1319,3344625.5
8,2019,1323,3345836.917
9,2019,1320,3347048.333
10,2019,1283,3348259.75
11,2019,1181,3349471.167
12,2019,1127,3350682.583
