MES,ANO,AIH_aprovadas,POP
1,2015,709,3938336
2,2015,769,3943613.583
3,2015,782,3948891.167
4,2015,885,3954168.75
5,2015,879,3959446.333
6,2015,899,3964723.917
7,2015,899,3970001.5
8,2015,788,3975279.083
9,2015,808,3980556.667
10,2015,795,3985834.25
11,2015,737,3991111.833
12,2015,717,3996389.417
1,2016,665,4001667
2,2016,785,4006829.25
3,2016,822,4011991.5
4,2016,787,4017153.75
5,2016,841,4022316
6,2016,882,4027478.25
7,2016,839,4032640.5
8,2016,861,4037802.75
9,2016,821,4042965
10,2016,775,4048127.25
11,2016,626,4053289.5
12,2016,695,4058451.75
1,2017,754,4063614
2,2017,715,4065030.417
3,2017,848,4066446.833
4,2017,753,4067863.25
5,2017,856,4069279.667
6,2017,706,4070696.083
7,2017,810,4072112.5
8,2017,724,4073528.917
9,2017,763,4074945.333
10,2017,840,4076361.75
11,2017,679,4077778.167
12,2017,788,4079194.583
1,2018,846,4080611
2,2018,852,4085943.167
3,2018,877,4091275.333
4,2018,886,4096607.5
5,2018,869,4101939.667
6,2018,933,4107271.833
7,2018,897,4112604
8,2018,879,4117936.167
9,2018,893,4123268.333
10,2018,898,4128600.5
11,2018,959,4133932.667
12,2018,912,4139264.833
1,2019,1097,4144597
2,2019,908,4149929.167
3,2019,1076,4155261.333
4,2019,980,4160593.5
5,2019,1055,4165925.667
6,2019,958,4171257.833
7,2019,939,4176590
8,2019,916,4181922.167
9,2019,1013,4187254.333
10,2019,889,4192586.5
11,2019,838,4197918.667
12,2019,886,4203250.833
