MES,ANO,AIH_aprovadas,POP
1,2015,97,766679
2,2015,119,767980.3333
3,2015,141,769281.6667
4,2015,164,770583
5,2015,169,771884.3333
6,2015,141,773185.6667
7,2015,124,774487
8,2015,114,775788.3333
9,2015,165,777089.6667
10,2015,180,778391
11,2015,149,779692.3333
12,2015,128,780993.6667
1,2016,136,782295
2,2016,134,783580.5833
3,2016,152,784866.1667
4,2016,127,786151.75
5,2016,153,787437.3333
6,2016,145,788722.9167
7,2016,153,790008.5
8,2016,143,791294.0833
9,2016,119,792579.6667
10,2016,139,793865.25
11,2016,143,795150.8333
12,2016,131,796436.4167
1,2017,145,797722
2,2017,130,800369.6667
3,2017,127,803017.3333
4,2017,133,805665
5,2017,131,808312.6667
6,2017,135,810960.3333
7,2017,144,813608
8,2017,120,816255.6667
9,2017,134,818903.3333
10,2017,152,821551
11,2017,137,824198.6667
12,2017,143,826846.3333
1,2018,130,829494
2,2018,153,830847.0833
3,2018,154,832200.1667
4,2018,123,833553.25
5,2018,150,834906.3333
6,2018,132,836259.4167
7,2018,123,837612.5
8,2018,148,838965.5833
9,2018,161,840318.6667
10,2018,150,841671.75
11,2018,143,843024.8333
12,2018,160,844377.9167
1,2019,139,845731
2,2019,110,847084.0833
3,2019,143,848437.1667
4,2019,229,849790.25
5,2019,166,851143.3333
6,2019,101,852496.4167
7,2019,165,853849.5
8,2019,137,855202.5833
9,2019,116,856555.6667
10,2019,179,857908.75
11,2019,146,859261.8333
12,2019,144,860614.9167
