MES,ANO,AIH_aprovadas,POP
1,2015,6176,15203934
2,2015,5801,15209986.67
3,2015,6137,15216039.33
4,2015,6002,15222092
5,2015,6047,15228144.67
6,2015,5864,15234197.33
7,2015,6514,15240250
8,2015,7048,15246302.67
9,2015,6988,15252355.33
10,2015,6774,15258408
11,2015,6413,15264460.67
12,2015,5747,15270513.33
1,2016,5979,15276566
2,2016,5628,15282222.75
3,2016,5538,15287879.5
4,2016,5818,15293536.25
5,2016,5672,15299193
6,2016,5644,15304849.75
7,2016,6100,15310506.5
8,2016,6394,15316163.25
9,2016,6353,15321820
10,2016,6412,15327476.75
11,2016,5451,15333133.5
12,2016,5480,15338790.25
1,2017,5388,15344447
2,2017,5403,15300127.83
3,2017,5631,15255808.67
4,2017,5428,15211489.5
5,2017,5648,15167170.33
6,2017,5518,15122851.17
7,2017,5492,15078532
8,2017,5999,15034212.83
9,2017,6407,14989893.67
10,2017,6494,14945574.5
11,2017,6109,14901255.33
12,2017,5327,14856936.17
1,2018,5856,14812617
2,2018,5511,14817654.25
3,2018,5729,14822691.5
4,2018,5593,14827728.75
5,2018,5627,14832766
6,2018,5502,14837803.25
7,2018,5844,14842840.5
8,2018,6335,14847877.75
9,2018,6495,14852915
10,2018,6576,14857952.25
11,2018,6327,14862989.5
12,2018,5709,14868026.75
1,2019,6031,14873064
2,2019,5315,14878101.25
3,2019,6160,14883138.5
4,2019,6083,14888175.75
5,2019,5975,14893213
6,2019,6029,14898250.25
7,2019,6643,14903287.5
8,2019,7185,14908324.75
9,2019,6901,14913362
10,2019,6713,14918399.25
11,2019,6424,14923436.5
12,2019,6087,14928473.75
