MES,ANO,AIH_aprovadas,POP
1,2015,3057,8904459
2,2015,2905,8909392.667
3,2015,3127,8914326.333
4,2015,2939,8919260
5,2015,2938,8924193.667
6,2015,3158,8929127.333
7,2015,3376,8934061
8,2015,3320,8938994.667
9,2015,3270,8943928.333
10,2015,3277,8948862
11,2015,3140,8953795.667
12,2015,2741,8958729.333
1,2016,3123,8963663
2,2016,2916,8968396.083
3,2016,2844,8973129.167
4,2016,3151,8977862.25
5,2016,3112,8982595.333
6,2016,3025,8987328.417
7,2016,3074,8992061.5
8,2016,3172,8996794.583
9,2016,2896,9001527.667
10,2016,2992,9006260.75
11,2016,3011,9010993.833
12,2016,2773,9015726.917
1,2017,2752,9020460
2,2017,2887,9025059.083
3,2017,2805,9029658.167
4,2017,2627,9034257.25
5,2017,2796,9038856.333
6,2017,2983,9043455.417
7,2017,3005,9048054.5
8,2017,3102,9052653.583
9,2017,3099,9057252.667
10,2017,3037,9061851.75
11,2017,3192,9066450.833
12,2017,2962,9071049.917
1,2018,3017,9075649
2,2018,2897,9080351.417
3,2018,3147,9085053.833
4,2018,3187,9089756.25
5,2018,2931,9094458.667
6,2018,2926,9099161.083
7,2018,3003,9103863.5
8,2018,3148,9108565.917
9,2018,2757,9113268.333
10,2018,3212,9117970.75
11,2018,3078,9122673.167
12,2018,3048,9127375.583
1,2019,3340,9132078
2,2019,3335,9136780.417
3,2019,3140,9141482.833
4,2019,3010,9146185.25
5,2019,3203,9150887.667
6,2019,2970,9155590.083
7,2019,3341,9160292.5
8,2019,3758,9164994.917
9,2019,3449,9169697.333
10,2019,3543,9174399.75
11,2019,3167,9179102.167
12,2019,3657,9183804.583
