MES,ANO,AIH_aprovadas,POP
1,2015,937,2914830
2,2015,756,2920028.833
3,2015,1102,2925227.667
4,2015,1185,2930426.5
5,2015,991,2935625.333
6,2015,1053,2940824.167
7,2015,1235,2946023
8,2015,1023,2951221.833
9,2015,1051,2956420.667
10,2015,863,2961619.5
11,2015,923,2966818.333
12,2015,880,2972017.167
1,2016,940,2977216
2,2016,808,2982401.667
3,2016,959,2987587.333
4,2016,1133,2992773
5,2016,1068,2997958.667
6,2016,1129,3003144.333
7,2016,979,3008330
8,2016,1327,3013515.667
9,2016,1004,3018701.333
10,2016,1053,3023887
11,2016,1011,3029072.667
12,2016,923,3034258.333
1,2017,1103,3039444
2,2017,1163,3034048.917
3,2017,1164,3028653.833
4,2017,1125,3023258.75
5,2017,1026,3017863.667
6,2017,1000,3012468.583
7,2017,892,3007073.5
8,2017,1038,3001678.417
9,2017,1031,2996283.333
10,2017,1030,2990888.25
11,2017,1022,2985493.167
12,2017,1003,2980098.083
1,2018,906,2974703
2,2018,1009,2978083.417
3,2018,1123,2981463.833
4,2018,1163,2984844.25
5,2018,1226,2988224.667
6,2018,1330,2991605.083
7,2018,1336,2994985.5
8,2018,1456,2998365.917
9,2018,1169,3001746.333
10,2018,1039,3005126.75
11,2018,994,3008507.167
12,2018,893,3011887.583
1,2019,1275,3015268
2,2019,1111,3018648.417
3,2019,1259,3022028.833
4,2019,1066,3025409.25
5,2019,1269,3028789.667
6,2019,1234,3032170.083
7,2019,1493,3035550.5
8,2019,1775,3038930.917
9,2019,1097,3042311.333
10,2019,1144,3045691.75
11,2019,1365,3049072.167
12,2019,1331,3052452.583
