MES,ANO,AIH_aprovadas,POP
1,2015,1850,3929911
2,2015,1822,3933559.833
3,2015,1942,3937208.667
4,2015,1791,3940857.5
5,2015,2003,3944506.333
6,2015,1934,3948155.167
7,2015,2228,3951804
8,2015,2361,3955452.833
9,2015,2138,3959101.667
10,2015,2146,3962750.5
11,2015,2219,3966399.333
12,2015,1840,3970048.167
1,2016,1994,3973697
2,2016,1887,3977251.917
3,2016,1973,3980806.833
4,2016,2029,3984361.75
5,2016,1947,3987916.667
6,2016,2104,3991471.583
7,2016,2252,3995026.5
8,2016,2289,3998581.417
9,2016,2183,4002136.333
10,2016,2230,4005691.25
11,2016,2133,4009246.167
12,2016,2265,4012801.083
1,2017,1977,4016356
2,2017,2005,4012692
3,2017,2106,4009028
4,2017,2062,4005364
5,2017,2102,4001700
6,2017,2205,3998036
7,2017,2192,3994372
8,2017,2499,3990708
9,2017,2149,3987044
10,2017,2163,3983380
11,2017,2388,3979716
12,2017,2165,3976052
1,2018,2260,3972388
2,2018,2052,3976243.167
3,2018,2014,3980098.333
4,2018,2179,3983953.5
5,2018,2092,3987808.667
6,2018,2049,3991663.833
7,2018,2089,3995519
8,2018,2158,3999374.167
9,2018,2043,4003229.333
10,2018,2472,4007084.5
11,2018,2328,4010939.667
12,2018,2252,4014794.833
1,2019,1993,4018650
2,2019,1977,4022505.167
3,2019,2025,4026360.333
4,2019,1921,4030215.5
5,2019,2013,4034070.667
6,2019,2111,4037925.833
7,2019,2410,4041781
8,2019,2296,4045636.167
9,2019,2322,4049491.333
10,2019,2437,4053346.5
11,2019,2316,4057201.667
12,2019,2438,4061056.833
