MES,ANO,AIH_aprovadas,POP
1,2015,3182,6610681
2,2015,3070,6617778.833
3,2015,3234,6624876.667
4,2015,3029,6631974.5
5,2015,3050,6639072.333
6,2015,3066,6646170.167
7,2015,3290,6653268
8,2015,3236,6660365.833
9,2015,3107,6667463.667
10,2015,3002,6674561.5
11,2015,3150,6681659.333
12,2015,2893,6688757.167
1,2016,2871,6695855
2,2016,2956,6702764.75
3,2016,3104,6709674.5
4,2016,2842,6716584.25
5,2016,2765,6723494
6,2016,2877,6730403.75
7,2016,2924,6737313.5
8,2016,3083,6744223.25
9,2016,2812,6751133
10,2016,2943,6758042.75
11,2016,2766,6764952.5
12,2016,2682,6771862.25
1,2017,2942,6778772
2,2017,2798,6790637.75
3,2017,2906,6802503.5
4,2017,2770,6814369.25
5,2017,2708,6826235
6,2017,2894,6838100.75
7,2017,2887,6849966.5
8,2017,2994,6861832.25
9,2017,2882,6873698
10,2017,2737,6885563.75
11,2017,2671,6897429.5
12,2017,2767,6909295.25
1,2018,2836,6921161
2,2018,2576,6929260.417
3,2018,2828,6937359.833
4,2018,2566,6945459.25
5,2018,2707,6953558.667
6,2018,2855,6961658.083
7,2018,2790,6969757.5
8,2018,2997,6977856.917
9,2018,2888,6985956.333
10,2018,2918,6994055.75
11,2018,2706,7002155.167
12,2018,2784,7010254.583
1,2019,2871,7018354
2,2019,2700,7026453.417
3,2019,2772,7034552.833
4,2019,2733,7042652.25
5,2019,2779,7050751.667
6,2019,2862,7058851.083
7,2019,2993,7066950.5
8,2019,3210,7075049.917
9,2019,2925,7083149.333
10,2019,2880,7091248.75
11,2019,2885,7099348.167
12,2019,2759,7107447.583
