MES,ANO,AIH_aprovadas,POP
1,2015,2238,6904241
2,2015,2314,6908390.583
3,2015,2619,6912540.167
4,2015,2226,6916689.75
5,2015,2368,6920839.333
6,2015,2472,6924988.917
7,2015,2458,6929138.5
8,2015,2545,6933288.083
9,2015,2546,6937437.667
10,2015,2495,6941587.25
11,2015,2434,6945736.833
12,2015,2457,6949886.417
1,2016,2441,6954036
2,2016,2187,6957885.417
3,2016,2334,6961734.833
4,2016,2387,6965584.25
5,2016,2167,6969433.667
6,2016,2382,6973283.083
7,2016,2503,6977132.5
8,2016,2261,6980981.917
9,2016,2123,6984831.333
10,2016,2109,6988680.75
11,2016,2049,6992530.167
12,2016,1858,6996379.583
1,2017,2245,7000229
2,2017,2301,7003131.167
3,2017,2337,7006033.333
4,2017,2283,7008935.5
5,2017,2440,7011837.667
6,2017,2465,7014739.833
7,2017,2577,7017642
8,2017,2501,7020544.167
9,2017,2484,7023446.333
10,2017,2400,7026348.5
11,2017,2283,7029250.667
12,2017,2392,7032152.833
1,2018,2405,7035055
2,2018,2432,7038398.833
3,2018,2489,7041742.667
4,2018,2801,7045086.5
5,2018,2620,7048430.333
6,2018,2534,7051774.167
7,2018,2590,7055118
8,2018,2581,7058461.833
9,2018,2420,7061805.667
10,2018,2590,7065149.5
11,2018,2360,7068493.333
12,2018,2474,7071837.167
1,2019,2497,7075181
2,2019,2475,7078524.833
3,2019,2509,7081868.667
4,2019,2407,7085212.5
5,2019,2489,7088556.333
6,2019,2320,7091900.167
7,2019,2440,7095244
8,2019,2617,7098587.833
9,2019,2569,7101931.667
10,2019,2565,7105275.5
11,2019,2458,7108619.333
12,2019,2386,7111963.167
