MES,ANO,AIH_aprovadas,POP
1,2015,12380,20869101
2,2015,12138,20879805.92
3,2015,12683,20890510.83
4,2015,12447,20901215.75
5,2015,12466,20911920.67
6,2015,12464,20922625.58
7,2015,12780,20933330.5
8,2015,12649,20944035.42
9,2015,13221,20954740.33
10,2015,12658,20965445.25
11,2015,12167,20976150.17
12,2015,11856,20986855.08
1,2016,11784,20997560
2,2016,11862,21007724.67
3,2016,12259,21017889.33
4,2016,11612,21028054
5,2016,11626,21038218.67
6,2016,12743,21048383.33
7,2016,12321,21058548
8,2016,12672,21068712.67
9,2016,12411,21078877.33
10,2016,11784,21089042
11,2016,12058,21099206.67
12,2016,12512,21109371.33
1,2017,11967,21119536
2,2017,11231,21112963.17
3,2017,12036,21106390.33
4,2017,11166,21099817.5
5,2017,12120,21093244.67
6,2017,11382,21086671.83
7,2017,12137,21080099
8,2017,12611,21073526.17
9,2017,12231,21066953.33
10,2017,11942,21060380.5
11,2017,11945,21053807.67
12,2017,11969,21047234.83
1,2018,12034,21040662
2,2018,11178,21051339.42
3,2018,12328,21062016.83
4,2018,12074,21072694.25
5,2018,11808,21083371.67
6,2018,11960,21094049.08
7,2018,12330,21104726.5
8,2018,12697,21115403.92
9,2018,12351,21126081.33
10,2018,12406,21136758.75
11,2018,11790,21147436.17
12,2018,11753,21158113.58
1,2019,12132,21168791
2,2019,11340,21179468.42
3,2019,12088,21190145.83
4,2019,11870,21200823.25
5,2019,12441,21211500.67
6,2019,11941,21222178.08
7,2019,13307,21232855.5
8,2019,13208,21243532.92
9,2019,12708,21254210.33
10,2019,12833,21264887.75
11,2019,12095,21275565.17
12,2019,12055,21286242.58
