MES,ANO,AIH_aprovadas,POP
1,2015,1003,2651235
2,2015,1058,2653830.917
3,2015,1089,2656426.833
4,2015,1051,2659022.75
5,2015,1146,2661618.667
6,2015,1119,2664214.583
7,2015,1061,2666810.5
8,2015,1194,2669406.417
9,2015,1149,2672002.333
10,2015,1103,2674598.25
11,2015,988,2677194.167
12,2015,969,2679790.083
1,2016,1090,2682386
2,2016,1135,2684949.417
3,2016,1130,2687512.833
4,2016,1067,2690076.25
5,2016,1073,2692639.667
6,2016,1075,2695203.083
7,2016,1148,2697766.5
8,2016,1243,2700329.917
9,2016,1057,2702893.333
10,2016,1157,2705456.75
11,2016,1186,2708020.167
12,2016,1106,2710583.583
1,2017,1108,2713147
2,2017,1049,2716053.333
3,2017,1117,2718959.667
4,2017,1026,2721866
5,2017,1118,2724772.333
6,2017,1109,2727678.667
7,2017,1270,2730585
8,2017,1279,2733491.333
9,2017,1147,2736397.667
10,2017,1226,2739304
11,2017,1174,2742210.333
12,2017,1150,2745116.667
1,2018,1198,2748023
2,2018,1224,2750603.25
3,2018,1118,2753183.5
4,2018,1080,2755763.75
5,2018,1177,2758344
6,2018,1134,2760924.25
7,2018,1138,2763504.5
8,2018,1182,2766084.75
9,2018,1245,2768665
10,2018,1187,2771245.25
11,2018,1130,2773825.5
12,2018,1121,2776405.75
1,2019,1162,2778986
2,2019,1111,2781566.25
3,2019,1141,2784146.5
4,2019,1241,2786726.75
5,2019,1161,2789307
6,2019,1120,2791887.25
7,2019,1280,2794467.5
8,2019,1385,2797047.75
9,2019,1325,2799628
10,2019,1251,2802208.25
11,2019,1246,2804788.5
12,2019,1250,2807368.75
