MES,ANO,AIH_aprovadas,POP
1,2015,1110,3265486
2,2015,1193,3268823.083
3,2015,1096,3272160.167
4,2015,1092,3275497.25
5,2015,1104,3278834.333
6,2015,1175,3282171.417
7,2015,1255,3285508.5
8,2015,1201,3288845.583
9,2015,1198,3292182.667
10,2015,1225,3295519.75
11,2015,1208,3298856.833
12,2015,1267,3302193.917
1,2016,1210,3305531
2,2016,1158,3308782.083
3,2016,1377,3312033.167
4,2016,1223,3315284.25
5,2016,1140,3318535.333
6,2016,1286,3321786.417
7,2016,1296,3325037.5
8,2016,1315,3328288.583
9,2016,1370,3331539.667
10,2016,1273,3334790.75
11,2016,1197,3338041.833
12,2016,1135,3341292.917
1,2017,1311,3344544
2,2017,1239,3352665.167
3,2017,1255,3360786.333
4,2017,1269,3368907.5
5,2017,1366,3377028.667
6,2017,1343,3385149.833
7,2017,1303,3393271
8,2017,1378,3401392.167
9,2017,1199,3409513.333
10,2017,1331,3417634.5
11,2017,1319,3425755.667
12,2017,1333,3433876.833
1,2018,1523,3441998
2,2018,1292,3445537
3,2018,1295,3449076
4,2018,1183,3452615
5,2018,1176,3456154
6,2018,1286,3459693
7,2018,1382,3463232
8,2018,1264,3466771
9,2018,1334,3470310
10,2018,1340,3473849
11,2018,1199,3477388
12,2018,1181,3480927
1,2019,1141,3484466
2,2019,1174,3488005
3,2019,1236,3491544
4,2019,1220,3495083
5,2019,1240,3498622
6,2019,1245,3502161
7,2019,1287,3505700
8,2019,1334,3509239
9,2019,1248,3512778
10,2019,1447,3516317
11,2019,1299,3519856
12,2019,1317,3523395
