MES,ANO,AIH_aprovadas,POP
1,2015,2394,8206923
2,2015,2202,8215126
3,2015,2311,8223329
4,2015,2444,8231532
5,2015,2195,8239735
6,2015,2267,8247938
7,2015,2207,8256141
8,2015,2273,8264344
9,2015,2221,8272547
10,2015,2105,8280750
11,2015,2004,8288953
12,2015,2031,8297156
1,2016,2024,8305359
2,2016,2189,8310464.75
3,2016,1950,8315570.5
4,2016,2036,8320676.25
5,2016,1982,8325782
6,2016,2043,8330887.75
7,2016,2149,8335993.5
8,2016,1922,8341099.25
9,2016,1943,8346205
10,2016,2202,8351310.75
11,2016,1797,8356416.5
12,2016,1811,8361522.25
1,2017,1906,8366628
2,2017,1998,8378867.083
3,2017,1908,8391106.167
4,2017,2092,8403345.25
5,2017,2003,8415584.333
6,2017,2109,8427823.417
7,2017,2087,8440062.5
8,2017,2143,8452301.583
9,2017,2391,8464540.667
10,2017,2281,8476779.75
11,2017,2114,8489018.833
12,2017,2063,8501257.917
1,2018,2034,8513497
2,2018,2244,8520944.333
3,2018,2304,8528391.667
4,2018,2186,8535839
5,2018,2045,8543286.333
6,2018,2203,8550733.667
7,2018,2066,8558181
8,2018,2190,8565628.333
9,2018,2168,8573075.667
10,2018,3526,8580523
11,2018,1989,8587970.333
12,2018,1995,8595417.667
1,2019,1947,8602865
2,2019,2093,8610312.333
3,2019,1960,8617759.667
4,2019,2006,8625207
5,2019,1983,8632654.333
6,2019,2108,8640101.667
7,2019,1783,8647549
8,2019,1885,8654996.333
9,2019,1905,8662443.667
10,2019,1933,8669891
11,2019,1904,8677338.333
12,2019,1945,8684785.667
