MES,ANO,AIH_aprovadas,POP
1,2015,1277,3972202
2,2015,1219,3974469.75
3,2015,1218,3976737.5
4,2015,1135,3979005.25
5,2015,1204,3981273
6,2015,1210,3983540.75
7,2015,1237,3985808.5
8,2015,1255,3988076.25
9,2015,1293,3990344
10,2015,1289,3992611.75
11,2015,1127,3994879.5
12,2015,1082,3997147.25
1,2016,1040,3999415
2,2016,1262,4001593.583
3,2016,1165,4003772.167
4,2016,1164,4005950.75
5,2016,1137,4008129.333
6,2016,1214,4010307.917
7,2016,1106,4012486.5
8,2016,1147,4014665.083
9,2016,1095,4016843.667
10,2016,1161,4019022.25
11,2016,1077,4021200.833
12,2016,1098,4023379.417
1,2017,1150,4025558
2,2017,1091,4023136.167
3,2017,1047,4020714.333
4,2017,1103,4018292.5
5,2017,1116,4015870.667
6,2017,1075,4013448.833
7,2017,1083,4011027
8,2017,1294,4008605.167
9,2017,1273,4006183.333
10,2017,1289,4003761.5
11,2017,1201,4001339.667
12,2017,1168,3998917.833
1,2018,1096,3996496
2,2018,1104,3998298.583
3,2018,1158,4000101.167
4,2018,1171,4001903.75
5,2018,1150,4003706.333
6,2018,1256,4005508.917
7,2018,1174,4007311.5
8,2018,1264,4009114.083
9,2018,1215,4010916.667
10,2018,1183,4012719.25
11,2018,1094,4014521.833
12,2018,1053,4016324.417
1,2019,1052,4018127
2,2019,1128,4019929.583
3,2019,1223,4021732.167
4,2019,1132,4023534.75
5,2019,1255,4025337.333
6,2019,1104,4027139.917
7,2019,1243,4028942.5
8,2019,1300,4030745.083
9,2019,1201,4032547.667
10,2019,1234,4034350.25
11,2019,1177,4036152.833
12,2019,1213,4037955.417
