MES,ANO,AIH_aprovadas,POP
1,2015,4336,9345173
2,2015,4057,9350603.25
3,2015,4426,9356033.5
4,2015,4424,9361463.75
5,2015,4276,9366894
6,2015,4532,9372324.25
7,2015,4272,9377754.5
8,2015,4998,9383184.75
9,2015,4493,9388615
10,2015,4548,9394045.25
11,2015,4491,9399475.5
12,2015,4060,9404905.75
1,2016,4201,9410336
2,2016,4113,9415580.167
3,2016,4427,9420824.333
4,2016,4267,9426068.5
5,2016,4299,9431312.667
6,2016,3992,9436556.833
7,2016,4668,9441801
8,2016,4714,9447045.167
9,2016,4523,9452289.333
10,2016,4583,9457533.5
11,2016,4416,9462777.667
12,2016,4470,9468021.833
1,2017,4560,9473266
2,2017,4273,9475185
3,2017,4337,9477104
4,2017,4194,9479023
5,2017,4731,9480942
6,2017,4508,9482861
7,2017,4723,9484780
8,2017,4874,9486699
9,2017,4854,9488618
10,2017,4527,9490537
11,2017,4498,9492456
12,2017,4428,9494375
1,2018,4291,9496294
2,2018,4071,9501358.75
3,2018,4327,9506423.5
4,2018,4327,9511488.25
5,2018,4474,9516553
6,2018,4354,9521617.75
7,2018,4511,9526682.5
8,2018,4762,9531747.25
9,2018,4662,9536812
10,2018,4516,9541876.75
11,2018,4130,9546941.5
12,2018,4160,9552006.25
1,2019,4271,9557071
2,2019,4034,9562135.75
3,2019,4301,9567200.5
4,2019,4366,9572265.25
5,2019,4608,9577330
6,2019,4386,9582394.75
7,2019,4663,9587459.5
8,2019,5016,9592524.25
9,2019,4626,9597589
10,2019,4852,9602653.75
11,2019,4523,9607718.5
12,2019,4436,9612783.25
