MES,ANO,AIH_aprovadas,POP
1,2015,1440,3204028
2,2015,1501,3204707.333
3,2015,1456,3205386.667
4,2015,1389,3206066
5,2015,1453,3206745.333
6,2015,1445,3207424.667
7,2015,1534,3208104
8,2015,1661,3208783.333
9,2015,1348,3209462.667
10,2015,1446,3210142
11,2015,1620,3210821.333
12,2015,1464,3211500.667
1,2016,1646,3212180
2,2016,1477,3212769.75
3,2016,1614,3213359.5
4,2016,1473,3213949.25
5,2016,1529,3214539
6,2016,1568,3215128.75
7,2016,1649,3215718.5
8,2016,1503,3216308.25
9,2016,1553,3216898
10,2016,1419,3217487.75
11,2016,1522,3218077.5
12,2016,1467,3218667.25
1,2017,1532,3219257
2,2017,1466,3223029.833
3,2017,1406,3226802.667
4,2017,1300,3230575.5
5,2017,1352,3234348.333
6,2017,1412,3238121.167
7,2017,1459,3241894
8,2017,1492,3245666.833
9,2017,1457,3249439.667
10,2017,1310,3253212.5
11,2017,1331,3256985.333
12,2017,1327,3260758.167
1,2018,1486,3264531
2,2018,1424,3265255.667
3,2018,1486,3265980.333
4,2018,1358,3266705
5,2018,1444,3267429.667
6,2018,1376,3268154.333
7,2018,1429,3268879
8,2018,1480,3269603.667
9,2018,1430,3270328.333
10,2018,1404,3271053
11,2018,1240,3271777.667
12,2018,1429,3272502.333
1,2019,1374,3273227
2,2019,1265,3273951.667
3,2019,1264,3274676.333
4,2019,1319,3275401
5,2019,1334,3276125.667
6,2019,1322,3276850.333
7,2019,1435,3277575
8,2019,1421,3278299.667
9,2019,1522,3279024.333
10,2019,1508,3279749
11,2019,1390,3280473.667
12,2019,1243,3281198.333
