MES,ANO,AIH_aprovadas,POP
1,2015,7475,11163018
2,2015,7382,11169659.83
3,2015,7800,11176301.67
4,2015,7691,11182943.5
5,2015,8075,11189585.33
6,2015,7840,11196227.17
7,2015,8259,11202869
8,2015,8258,11209510.83
9,2015,8289,11216152.67
10,2015,8353,11222794.5
11,2015,8303,11229436.33
12,2015,7720,11236078.17
1,2016,7796,11242720
2,2016,7780,11249234.33
3,2016,8361,11255748.67
4,2016,8072,11262263
5,2016,8394,11268777.33
6,2016,8399,11275291.67
7,2016,8731,11281806
8,2016,8746,11288320.33
9,2016,8562,11294834.67
10,2016,8902,11301349
11,2016,8431,11307863.33
12,2016,8321,11314377.67
1,2017,8012,11320892
2,2017,8181,11323229.08
3,2017,8381,11325566.17
4,2017,8391,11327903.25
5,2017,8669,11330240.33
6,2017,8473,11332577.42
7,2017,8944,11334914.5
8,2017,9602,11337251.58
9,2017,9186,11339588.67
10,2017,9150,11341925.75
11,2017,9432,11344262.83
12,2017,8816,11346599.92
1,2018,9574,11348937
2,2018,8766,11356022
3,2018,9231,11363107
4,2018,8843,11370192
5,2018,9178,11377277
6,2018,8924,11384362
7,2018,9245,11391447
8,2018,9470,11398532
9,2018,9426,11405617
10,2018,9606,11412702
11,2018,9628,11419787
12,2018,9008,11426872
1,2019,8991,11433957
2,2019,9253,11441042
3,2019,9177,11448127
4,2019,9029,11455212
5,2019,9302,11462297
6,2019,8908,11469382
7,2019,9393,11476467
8,2019,10026,11483552
9,2019,9984,11490637
10,2019,9783,11497722
11,2019,9323,11504807
12,2019,9316,11511892
