MES,ANO,AIH_aprovadas,POP
1,2015,5805,16550024
2,2015,5368,16557188.33
3,2015,5850,16564352.67
4,2015,5894,16571517
5,2015,5830,16578681.33
6,2015,6047,16585845.67
7,2015,6502,16593010
8,2015,6274,16600174.33
9,2015,6181,16607338.67
10,2015,6038,16614503
11,2015,6199,16621667.33
12,2015,5606,16628831.67
1,2016,5822,16635996
2,2016,5591,16642909.33
3,2016,6262,16649822.67
4,2016,5837,16656736
5,2016,5509,16663649.33
6,2016,5784,16670562.67
7,2016,5620,16677476
8,2016,6232,16684389.33
9,2016,6037,16691302.67
10,2016,5805,16698216
11,2016,5627,16705129.33
12,2016,5463,16712042.67
1,2017,5526,16718956
2,2017,5263,16755706.33
3,2017,5387,16792456.67
4,2017,5403,16829207
5,2017,5757,16865957.33
6,2017,5785,16902707.67
7,2017,6256,16939458
8,2017,6233,16976208.33
9,2017,5880,17012958.67
10,2017,5851,17049709
11,2017,5663,17086459.33
12,2017,5517,17123209.67
1,2018,5732,17159960
2,2018,5420,17168708.58
3,2018,5697,17177457.17
4,2018,5562,17186205.75
5,2018,5975,17194954.33
6,2018,5968,17203702.92
7,2018,6671,17212451.5
8,2018,6551,17221200.08
9,2018,6068,17229948.67
10,2018,6049,17238697.25
11,2018,6063,17247445.83
12,2018,6000,17256194.42
1,2019,6127,17264943
2,2019,5961,17273691.58
3,2019,5936,17282440.17
4,2019,5754,17291188.75
5,2019,6532,17299937.33
6,2019,6265,17308685.92
7,2019,6877,17317434.5
8,2019,6904,17326183.08
9,2019,6656,17334931.67
10,2019,6757,17343680.25
11,2019,6348,17352428.83
12,2019,6001,17361177.42
