MES,ANO,AIH_aprovadas,POP
1,2015,634,1768204
2,2015,578,1769793.583
3,2015,591,1771383.167
4,2015,537,1772972.75
5,2015,711,1774562.333
6,2015,686,1776151.917
7,2015,702,1777741.5
8,2015,664,1779331.083
9,2015,609,1780920.667
10,2015,620,1782510.25
11,2015,580,1784099.833
12,2015,533,1785689.417
1,2016,545,1787279
2,2016,560,1788821.417
3,2016,593,1790363.833
4,2016,613,1791906.25
5,2016,612,1793448.667
6,2016,701,1794991.083
7,2016,630,1796533.5
8,2016,637,1798075.917
9,2016,664,1799618.333
10,2016,536,1801160.75
11,2016,575,1802703.167
12,2016,537,1804245.583
1,2017,568,1805788
2,2017,576,1801771.417
3,2017,616,1797754.833
4,2017,602,1793738.25
5,2017,542,1789721.667
6,2017,624,1785705.083
7,2017,591,1781688.5
8,2017,582,1777671.917
9,2017,542,1773655.333
10,2017,596,1769638.75
11,2017,521,1765622.167
12,2017,563,1761605.583
1,2018,543,1757589
2,2018,683,1759225.333
3,2018,630,1760861.667
4,2018,668,1762498
5,2018,604,1764134.333
6,2018,557,1765770.667
7,2018,612,1767407
8,2018,644,1769043.333
9,2018,552,1770679.667
10,2018,597,1772316
11,2018,573,1773952.333
12,2018,526,1775588.667
1,2019,561,1777225
2,2019,587,1778861.333
3,2019,530,1780497.667
4,2019,581,1782134
5,2019,576,1783770.333
6,2019,590,1785406.667
7,2019,767,1787043
8,2019,675,1788679.333
9,2019,586,1790315.667
10,2019,668,1791952
11,2019,647,1793588.333
12,2019,643,1795224.667
