MES,ANO,AIH_aprovadas,POP
1,2015,126,505665
2,2015,128,506378.6667
3,2015,82,507092.3333
4,2015,146,507806
5,2015,113,508519.6667
6,2015,89,509233.3333
7,2015,158,509947
8,2015,135,510660.6667
9,2015,106,511374.3333
10,2015,121,512088
11,2015,127,512801.6667
12,2015,124,513515.3333
1,2016,70,514229
2,2016,92,514929.5833
3,2016,97,515630.1667
4,2016,107,516330.75
5,2016,148,517031.3333
6,2016,131,517731.9167
7,2016,155,518432.5
8,2016,154,519133.0833
9,2016,192,519833.6667
10,2016,143,520534.25
11,2016,169,521234.8333
12,2016,122,521935.4167
1,2017,92,522636
2,2017,121,527130.3333
3,2017,125,531624.6667
4,2017,123,536119
5,2017,149,540613.3333
6,2017,153,545107.6667
7,2017,190,549602
8,2017,135,554096.3333
9,2017,144,558590.6667
10,2017,133,563085
11,2017,147,567579.3333
12,2017,143,572073.6667
1,2018,130,576568
2,2018,120,579000.75
3,2018,123,581433.5
4,2018,134,583866.25
5,2018,138,586299
6,2018,137,588731.75
7,2018,121,591164.5
8,2018,104,593597.25
9,2018,107,596030
10,2018,122,598462.75
11,2018,150,600895.5
12,2018,94,603328.25
1,2019,160,605761
2,2019,137,608193.75
3,2019,87,610626.5
4,2019,142,613059.25
5,2019,161,615492
6,2019,117,617924.75
7,2019,163,620357.5
8,2019,151,622790.25
9,2019,127,625223
10,2019,128,627655.75
11,2019,130,630088.5
12,2019,235,632521.25
