MES,ANO,AIH_aprovadas,POP
1,2015,7888,11247972
2,2015,7304,11251182.67
3,2015,8077,11254393.33
4,2015,7961,11257604
5,2015,7864,11260814.67
6,2015,8044,11264025.33
7,2015,8298,11267236
8,2015,8545,11270446.67
9,2015,7777,11273657.33
10,2015,8217,11276868
11,2015,8286,11280078.67
12,2015,7622,11283289.33
1,2016,7094,11286500
2,2016,7205,11289532.92
3,2016,7605,11292565.83
4,2016,7352,11295598.75
5,2016,7612,11298631.67
6,2016,7624,11301664.58
7,2016,8175,11304697.5
8,2016,8276,11307730.42
9,2016,7547,11310763.33
10,2016,8885,11313796.25
11,2016,8044,11316829.17
12,2016,7791,11319862.08
1,2017,7567,11322895
2,2017,6629,11323454.17
3,2017,7375,11324013.33
4,2017,7278,11324572.5
5,2017,8488,11325131.67
6,2017,7802,11325690.83
7,2017,7940,11326250
8,2017,8196,11326809.17
9,2017,8319,11327368.33
10,2017,7960,11327927.5
11,2017,8026,11328486.67
12,2017,7463,11329045.83
1,2018,7505,11329605
2,2018,6868,11333574.5
3,2018,7515,11337544
4,2018,7496,11341513.5
5,2018,7520,11345483
6,2018,7832,11349452.5
7,2018,7909,11353422
8,2018,7883,11357391.5
9,2018,7923,11361361
10,2018,7981,11365330.5
11,2018,7571,11369300
12,2018,7515,11373269.5
1,2019,7418,11377239
2,2019,7333,11381208.5
3,2019,6880,11385178
4,2019,7550,11389147.5
5,2019,7767,11393117
6,2019,7672,11397086.5
7,2019,8066,11401056
8,2019,8398,11405025.5
9,2019,8055,11408995
10,2019,8577,11412964.5
11,2019,8267,11416934
12,2019,7652,11420903.5
