MES,ANO,AIH_aprovadas,POP
1,2015,3889,6819190
2,2015,3793,6826803.583
3,2015,4027,6834417.167
4,2015,4152,6842030.75
5,2015,3986,6849644.333
6,2015,4229,6857257.917
7,2015,4617,6864871.5
8,2015,4503,6872485.083
9,2015,4509,6880098.667
10,2015,4592,6887712.25
11,2015,4254,6895325.833
12,2015,4205,6902939.417
1,2016,4050,6910553
2,2016,4047,6918103.667
3,2016,3972,6925654.333
4,2016,4235,6933205
5,2016,4370,6940755.667
6,2016,4620,6948306.333
7,2016,4443,6955857
8,2016,5051,6963407.667
9,2016,4870,6970958.333
10,2016,4765,6978509
11,2016,4711,6986059.667
12,2016,4226,6993610.333
1,2017,4613,7001161
2,2017,4131,7007355.417
3,2017,4519,7013549.833
4,2017,4040,7019744.25
5,2017,4735,7025938.667
6,2017,4413,7032133.083
7,2017,4604,7038327.5
8,2017,4785,7044521.917
9,2017,4546,7050716.333
10,2017,4449,7056910.75
11,2017,4489,7063105.167
12,2017,4145,7069299.583
1,2018,3853,7075494
2,2018,4072,7082935.167
3,2018,4693,7090376.333
4,2018,4488,7097817.5
5,2018,4324,7105258.667
6,2018,4409,7112699.833
7,2018,4682,7120141
8,2018,4816,7127582.167
9,2018,4813,7135023.333
10,2018,4736,7142464.5
11,2018,4685,7149905.667
12,2018,3962,7157346.833
1,2019,4659,7164788
2,2019,4251,7172229.167
3,2019,4256,7179670.333
4,2019,4307,7187111.5
5,2019,4717,7194552.667
6,2019,4380,7201993.833
7,2019,4993,7209435
8,2019,4871,7216876.167
9,2019,4673,7224317.333
10,2019,4786,7231758.5
11,2019,4445,7239199.667
12,2019,4293,7246640.833
