MES,ANO,AIH_aprovadas,POP
1,2015,500,2242937
2,2015,471,2244840.5
3,2015,556,2246744
4,2015,547,2248647.5
5,2015,561,2250551
6,2015,580,2252454.5
7,2015,576,2254358
8,2015,586,2256261.5
9,2015,608,2258165
10,2015,677,2260068.5
11,2015,564,2261972
12,2015,512,2263875.5
1,2016,540,2265779
2,2016,531,2267640.417
3,2016,522,2269501.833
4,2016,554,2271363.25
5,2016,666,2273224.667
6,2016,528,2275086.083
7,2016,600,2276947.5
8,2016,1098,2278808.917
9,2016,425,2280670.333
10,2016,461,2282531.75
11,2016,545,2284393.167
12,2016,456,2286254.583
1,2017,532,2288116
2,2017,493,2287298.667
3,2017,454,2286481.333
4,2017,506,2285664
5,2017,514,2284846.667
6,2017,502,2284029.333
7,2017,454,2283212
8,2017,623,2282394.667
9,2017,633,2281577.333
10,2017,569,2280760
11,2017,544,2279942.667
12,2017,565,2279125.333
1,2018,441,2278308
2,2018,433,2280007
3,2018,515,2281706
4,2018,513,2283405
5,2018,558,2285104
6,2018,445,2286803
7,2018,564,2288502
8,2018,560,2290201
9,2018,529,2291900
10,2018,633,2293599
11,2018,519,2295298
12,2018,607,2296997
1,2019,606,2298696
2,2019,602,2300395
3,2019,650,2302094
4,2019,573,2303793
5,2019,600,2305492
6,2019,520,2307191
7,2019,556,2308890
8,2019,604,2310589
9,2019,633,2312288
10,2019,575,2313987
11,2019,591,2315686
12,2019,545,2317385
