MES,ANO,AIH_aprovadas,POP
1,2015,20276,44396484
2,2015,20006,44425918.58
3,2015,21555,44455353.17
4,2015,21224,44484787.75
5,2015,21408,44514222.33
6,2015,22318,44543656.92
7,2015,23412,44573091.5
8,2015,22617,44602526.08
9,2015,22610,44631960.67
10,2015,22173,44661395.25
11,2015,21333,44690829.83
12,2015,21329,44720264.42
1,2016,20602,44749699
2,2016,20691,44778462.92
3,2016,22236,44807226.83
4,2016,20942,44835990.75
5,2016,21459,44864754.67
6,2016,23704,44893518.58
7,2016,24549,44922282.5
8,2016,24623,44951046.42
9,2016,23956,44979810.33
10,2016,23338,45008574.25
11,2016,22427,45037338.17
12,2016,22038,45066102.08
1,2017,21042,45094866
2,2017,20592,45131871.83
3,2017,22747,45168877.67
4,2017,20444,45205883.5
5,2017,23669,45242889.33
6,2017,22383,45279895.17
7,2017,24137,45316901
8,2017,25029,45353906.83
9,2017,23724,45390912.67
10,2017,23249,45427918.5
11,2017,22953,45464924.33
12,2017,22886,45501930.17
1,2018,22428,45538936
2,2018,21545,45570612.08
3,2018,22898,45602288.17
4,2018,22381,45633964.25
5,2018,22278,45665640.33
6,2018,22280,45697316.42
7,2018,23600,45728992.5
8,2018,24852,45760668.58
9,2018,23168,45792344.67
10,2018,24590,45824020.75
11,2018,22927,45855696.83
12,2018,22429,45887372.92
1,2019,22826,45919049
2,2019,21459,45950725.08
3,2019,22156,45982401.17
4,2019,22449,46014077.25
5,2019,23031,46045753.33
6,2019,22197,46077429.42
7,2019,24111,46109105.5
8,2019,24890,46140781.58
9,2019,24256,46172457.67
10,2019,24835,46204133.75
11,2019,22485,46235809.83
12,2019,22133,46267485.92
