MES,ANO,AIH_aprovadas,POP
1,2015,520,1515126
2,2015,452,1516607.333
3,2015,535,1518088.667
4,2015,470,1519570
5,2015,490,1521051.333
6,2015,477,1522532.667
7,2015,417,1524014
8,2015,437,1525495.333
9,2015,403,1526976.667
10,2015,370,1528458
11,2015,480,1529939.333
12,2015,454,1531420.667
1,2016,383,1532902
2,2016,503,1534343
3,2016,473,1535784
4,2016,483,1537225
5,2016,478,1538666
6,2016,497,1540107
7,2016,571,1541548
8,2016,456,1542989
9,2016,441,1544430
10,2016,419,1545871
11,2016,451,1547312
12,2016,473,1548753
1,2017,405,1550194
2,2017,395,1550613.583
3,2017,488,1551033.167
4,2017,450,1551452.75
5,2017,513,1551872.333
6,2017,496,1552291.917
7,2017,379,1552711.5
8,2017,568,1553131.083
9,2017,460,1553550.667
10,2017,391,1553970.25
11,2017,459,1554389.833
12,2017,366,1554809.417
1,2018,406,1555229
2,2018,364,1556698.75
3,2018,420,1558168.5
4,2018,342,1559638.25
5,2018,349,1561108
6,2018,366,1562577.75
7,2018,402,1564047.5
8,2018,411,1565517.25
9,2018,405,1566987
10,2018,382,1568456.75
11,2018,354,1569926.5
12,2018,304,1571396.25
1,2019,451,1572866
2,2019,437,1574335.75
3,2019,491,1575805.5
4,2019,451,1577275.25
5,2019,404,1578745
6,2019,365,1580214.75
7,2019,451,1581684.5
8,2019,438,1583154.25
9,2019,499,1584624
10,2019,476,1586093.75
11,2019,495,1587563.5
12,2019,480,1589033.25
